,Total_Reward
1026,-124.45418
1027,-210.56064
1028,66.15376
1029,-54.059494
1030,-70.633575
1031,-53.77355
1032,-131.0441
1033,-53.839375
1034,77.83979
1035,88.0686
1036,80.2972
1037,-54.229065
1038,-196.2905
1039,-54.162483
1040,-53.913464
1041,-53.733112
1042,-64.72273
1043,-196.79468
1044,-289.0826
1045,-196.68103
1046,-196.46259
1047,-53.97797
1048,-53.90993
1049,-53.94841
1050,81.50699
1051,-196.91638
1052,-252.77496
1053,-196.67769
1054,-53.88158
1055,-196.68526
1056,81.34999
1057,-196.52095
1058,80.844124
1059,59.359123
1060,80.078735
1061,-53.93501
1062,-54.035236
1063,-2470.2644
1064,-274.97476
1065,185.53113
1066,-197.0281
1067,-53.833843
1068,-53.75183
1069,-59.945656
1070,-81.87026
1071,-196.6376
1072,-53.69557
1073,-54.410336
1074,-63.78521
1075,-195.8205
1076,-62.486603
1077,82.48038
1078,-53.93234
1079,-196.8332
1080,-53.85992
1081,-196.9566
1082,-1367.7339
1083,79.41643
1084,83.10593
1085,-57.48368
1086,-54.613106
1087,-197.14276
1088,75.632935
1089,-60.320908
1090,-197.05719
1091,-53.90676
1092,-373.8602
1093,-53.740993
1094,-54.188515
1095,-67.082436
1096,-54.051556
1097,-53.94038
1098,-53.83868
1099,-53.8328
1100,-54.448193
1101,-53.977276
1102,-434.88824
1103,-133.47041
1104,-196.99303
1105,-138.5663
1106,-196.45786
1107,83.01593
1108,-53.830944
1109,-53.814423
1110,-196.45865
1111,74.09052
1112,-196.74915
1113,-196.97765
1114,-9335.349
1115,83.812614
1116,-28820.998
1117,-196.50705
1118,-196.4981
1119,-195.27818
1120,-195.83575
1121,88.51265
1122,-53.777245
1123,-53.99231
1124,76.54625
1125,81.19098
1126,-196.76962
1127,-196.64598
1128,-196.62123
1129,-54.06707
1130,76.23199
1131,-53.98907
1132,-685.8729
1133,-54.025166
1134,31.898045
1135,-219.76184
1136,73.50452
1137,74.02267
1138,-315.4754
1139,69.29876
1140,-54.29599
1141,83.70843
1142,-303.15884
1143,81.46355
1144,-53.751877
1145,-1211.9153
1146,-53.885075
1147,-53.946728
1148,-196.7132
1149,-54.029854
1150,-53.970184
1151,86.68586
1152,-54.228577
1153,-108700.14
1154,-196.31311
1155,-196.14224
1156,-196.24168
1157,-53.799744
1158,-54.144043
1159,-54.019367
1160,-53.832672
1161,-61.891594
1162,-225.75897
1163,83.433685
1164,82.61073
1165,77.099106
1166,-53.941696
1167,-323.95483
1168,-67.556145
1169,82.08024
1170,-196.79814
1171,69.1708
1172,-196.18765
1173,-196.1737
1174,-53.99178
1175,-196.87575
1176,-54.077553
1177,-196.89447
1178,88.91797
1179,81.775795
1180,-196.95566
1181,-57.090965
1182,-53.83285
1183,-196.12476
1184,-53.67925
1185,-53.83788
1186,-221.774
1187,-58.16111
1188,74.820786
1189,85.12905
1190,73.31898
1191,-195.2616
1192,-196.66106
1193,-196.29457
1194,-59.706646
1195,-74.598724
1196,88.146484
1197,-196.83665
1198,88.0896
1199,-197.07312
1200,-197.0242
1201,-251.98993
1202,-53.623676
1203,-53.819817
1204,-197.25461
1205,-197.1135
1206,-58.66388
1207,-53.780903
1208,-54.1458
1209,72.997375
1210,80.00386
1211,77.00362
1212,73.1375
1213,78.34141
1214,-54.214394
1215,-54.004204
1216,-58.93313
1217,-54.107277
1218,-53.79361
1219,-53.970177
1220,78.76837
1221,-64.72659
1222,-53.87873
1223,-53.799843
1224,-348.68317
1225,-54.051067
1226,-54.16622
1227,-53.9493
1228,-53.779076
1229,83.39716
1230,-197.3479
1231,-57.686825
1232,-54.025093
1233,-54.062603
1234,-54.07601
1235,-370.77094
1236,-2803.3604
1237,-53.94172
1238,84.66655
1239,-54.381905
1240,-53.814034
1241,-53.944214
1242,-317.41064
1243,-197.21324
1244,-381.84595
1245,83.930725
1246,-53.90194
1247,-53.799774
1248,76.01251
1249,-60.366276
1250,-56.93676
1251,-54.057438
1252,-53.994198
1253,77.19777
1254,-53.87213
1255,-54.120003
1256,64.417984
1257,-53.955345
1258,-320.81772
1259,-133.60692
1260,-53.822964
1261,-54.061646
1262,81.5286
1263,82.61927
1264,-321.43884
1265,-53.997986
1266,79.57103
1267,86.903915
1268,66.70186
1269,-54.194878
1270,-53.763813
1271,85.71829
1272,-53.757282
1273,-53.952747
1274,-53.716972
1275,-54.014687
1276,-258.16357
1277,84.979614
1278,-53.940548
1279,66.98382
1280,77.493904
1281,75.12104
1282,-53.994495
1283,-53.891945
1284,-53.76772
1285,-70.62796
1286,-54.481186
1287,79.84779
1288,-53.825535
